Release 6.1.03i - Par G.26
Copyright (c) 1995-2003 Xilinx, Inc.  All rights reserved.

Tue Mar 09 21:35:11 2004


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       sync_gen50_map.ncd
OUTPUT FILE:      sync_gen50_pad.csv
PART TYPE:        xc2s100
SPEED GRADE:      -6
PACKAGE:          tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
P1,,,VCCO,,,0,,,,,na,,
P2,,,TCK,,,,,,,,,,
P3,,IOB,,UNUSED,,0,,,,,,,
P4,,IOB,,UNUSED,,0,,,,,,,
P5,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P6,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P7,,IOB,,UNUSED,,0,,,,,,,
P8,,,GND,,,,,,,,,,
P9,,,VCCINT,,,,,,,,2.5,,
P10,,IOB,,UNUSED,,0,,,,,,,
P11,,IOB,,UNUSED,,0,,,,,,,
P12,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P13,,IOB,,UNUSED,,0,,,,,,,
P14,,,VCCINT,,,,,,,,2.5,,
P15,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,
P16,,,VCCO,,,0,,,,,na,,
P17,,,GND,,,,,,,,,,
P77,,IOB,IO_VREF_4,UNUSED,,(2,4)***,,,,,,,
P78,CounterY<4>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P79,CounterY<3>,IOB,IO_VREF_4,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P80,CounterY<2>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P81,,,GND,,,,,,,,,,
P82,,,VCCINT,,,,,,,,2.5,,
P83,CounterY<1>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P84,CounterX<5>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P85,CounterX<3>,IOB,IO_VREF_4,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P86,CounterX<1>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P87,CounterY<9>,IOB,,OUTPUT,LVTTL,(2,4)***,12,SLOW,NONE**,,,,
P88,,GCLKIOB,GCK0,UNUSED,,(2,4)***,,,,,,,
P89,,,GND,,,,,,,,,,
P90,,,VCCO,,,2,,,,,na,,
P91,clk,GCLKIOB,GCK1,INPUT,LVTTL,(2,5)***,,,,,,,
P92,,,VCCINT,,,,,,,,2.5,,
P93,vga_v_sync,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P94,CounterY<6>,IOB,IO_VREF_5,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P95,CounterY<7>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P96,CounterY<8>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P97,,,VCCINT,,,,,,,,2.5,,
P98,,,GND,,,,,,,,,,
P99,CounterX<10>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P100,CounterX<0>,IOB,IO_VREF_5,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P101,Valid,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P102,vga_h_sync,IOB,IO_VREF_5,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P103,CounterX<2>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P106,,,M2,,,,,,,,,,
P107,,,VCCO,,,2,,,,,na,,
P108,,,VCCO,,,3,,,,,na,,
P109,,,M0,,,,,,,,,,
P110,,,GND,,,,,,,,,,
P111,,,M1,,,,,,,,,,
P112,CounterX<4>,IOB,,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P113,CounterY<0>,IOB,,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P114,CounterY<5>,IOB,,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P115,CounterX<7>,IOB,IO_VREF_6,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P116,CounterX<8>,IOB,,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P117,CounterX<6>,IOB,IO_VREF_6,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P118,CounterX<9>,IOB,,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P119,,,GND,,,,,,,,,,
P120,,IOB,,UNUSED,,(3,6)***,,,,,,,
P121,,IOB,,UNUSED,,(3,6)***,,,,,,,
P122,,IOB,IO_VREF_6,UNUSED,,(3,6)***,,,,,,,
P123,,IOB,,UNUSED,,(3,6)***,,,,,,,
P124,,IOB,,UNUSED,,(3,6)***,,,,,,,
P125,,,VCCINT,,,,,,,,2.5,,
P126,,PCIIOB,IO_TRDY,UNUSED,,(3,6)***,,,,,,,
P127,,,VCCO,,,3,,,,,na,,
P128,,,GND,,,,,,,,,,
P129,,PCIIOB,IO_IRDY,UNUSED,,(3,7)***,,,,,,,
P130,,IOB,,UNUSED,,(3,7)***,,,,,,,
P131,,IOB,,UNUSED,,(3,7)***,,,,,,,
P132,,IOB,IO_VREF_7,UNUSED,,(3,7)***,,,,,,,
P133,,IOB,,UNUSED,,(3,7)***,,,,,,,
P134,,IOB,,UNUSED,,(3,7)***,,,,,,,
P135,,,GND,,,,,,,,,,
P136,,IOB,,UNUSED,,(3,7)***,,,,,,,
P137,,IOB,IO_VREF_7,UNUSED,,(3,7)***,,,,,,,
P138,,IOB,,UNUSED,,(3,7)***,,,,,,,
P139,,IOB,IO_VREF_7,UNUSED,,(3,7)***,,,,,,,
P140,,IOB,,UNUSED,,(3,7)***,,,,,,,
P141,,IOB,,UNUSED,,(3,7)***,,,,,,,
P142,,,TMS,,,,,,,,,,
P143,,,GND,,,,,,,,,,
P144,,,VCCO,,,3,,,,,na,,

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen.
*** In some smaller packages, the VCCO bank number of a pin may trail
     the VREF bank number (VCCO,VREF).

