Release 6.1.03i - Par G.26
Copyright (c) 1995-2003 Xilinx, Inc.  All rights reserved.

Tue Mar 09 01:26:30 2004


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       Tunnel_map.ncd
OUTPUT FILE:      Tunnel_pad.csv
PART TYPE:        xc2s100
SPEED GRADE:      -6
PACKAGE:          tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
P1,,,VCCO,,,0,,,,,3.30,,
P2,,,TCK,,,,,,,,,,
P3,,IOB,,UNUSED,,0,,,,,,,
P4,right,IOB,,INPUT,LVTTL,0,,,,NONE,,,
P5,left,IOB,IO_VREF_0,INPUT,LVTTL,0,,,,NONE,,,
P6,rst,IOB,IO_VREF_0,INPUT,LVTTL,0,,,,NONE,,,
P7,ewrite,IOB,,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,,
P8,,,GND,,,,,,,,,,
P9,,,VCCINT,,,,,,,,2.5,,
P10,topready,IOB,,INPUT,LVTTL,0,,,,NONE,,,
P11,bramdata<7>,IOB,,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,,
P12,enable,IOB,IO_VREF_0,INPUT,LVTTL,0,,,,NONE,,,
P13,score3<1>,IOB,,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,,
P14,,,VCCINT,,,,,,,,2.5,,
P15,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,
P16,,,VCCO,,,0,,,,,3.30,,
P17,,,GND,,,,,,,,,,
P103,score1<2>,IOB,,OUTPUT,LVTTL,(2,5)***,12,SLOW,NONE**,,,,
P106,,,M2,,,,,,,,,,
P107,,,VCCO,,,2,,,,,3.30,,
P108,,,VCCO,,,3,,,,,na,,
P109,,,M0,,,,,,,,,,
P110,,,GND,,,,,,,,,,
P111,,,M1,,,,,,,,,,
P112,,IOB,,UNUSED,,(3,6)***,,,,,,,
P113,,IOB,,UNUSED,,(3,6)***,,,,,,,
P114,,IOB,,UNUSED,,(3,6)***,,,,,,,
P115,,IOB,IO_VREF_6,UNUSED,,(3,6)***,,,,,,,
P116,,IOB,,UNUSED,,(3,6)***,,,,,,,
P117,,IOB,IO_VREF_6,UNUSED,,(3,6)***,,,,,,,
P118,ymap<6>,IOB,,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P119,,,GND,,,,,,,,,,
P120,,IOB,,UNUSED,,(3,6)***,,,,,,,
P121,bramdata<11>,IOB,,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P122,ymap<8>,IOB,IO_VREF_6,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P123,ymap<9>,IOB,,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P124,ymap<2>,IOB,,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P125,,,VCCINT,,,,,,,,2.5,,
P126,bramdata<12>,IOB,IO_TRDY,OUTPUT,LVTTL,(3,6)***,12,SLOW,NONE**,,,,
P127,,,VCCO,,,3,,,,,na,,
P128,,,GND,,,,,,,,,,
P129,ymap<0>,IOB,IO_IRDY,OUTPUT,LVTTL,(3,7)***,12,SLOW,NONE**,,,,
P130,ymap<12>,IOB,,OUTPUT,LVTTL,(3,7)***,12,SLOW,NONE**,,,,
P131,ymap<10>,IOB,,OUTPUT,LVTTL,(3,7)***,12,SLOW,NONE**,,,,
P132,ymap<11>,IOB,IO_VREF_7,OUTPUT,LVTTL,(3,7)***,12,SLOW,NONE**,,,,
P133,ymap<3>,IOB,,OUTPUT,LVTTL,(3,7)***,12,SLOW,NONE**,,,,
P134,bramdata<2>,IOB,,OUTPUT,LVTTL,(3,7)***,12,SLOW,NONE**,,,,
P135,,,GND,,,,,,,,,,
P136,ymap<7>,IOB,,OUTPUT,LVTTL,(3,7)***,12,SLOW,NONE**,,,,
P137,pause,IOB,IO_VREF_7,INPUT,LVTTL,(3,7)***,,,,NONE,,,
P138,down,IOB,,INPUT,LVTTL,(3,7)***,,,,NONE,,,
P139,up,IOB,IO_VREF_7,INPUT,LVTTL,(3,7)***,,,,NONE,,,
P140,,IOB,,UNUSED,,(3,7)***,,,,,,,
P141,,IOB,,UNUSED,,(3,7)***,,,,,,,
P142,,,TMS,,,,,,,,,,
P143,,,GND,,,,,,,,,,
P144,,,VCCO,,,3,,,,,na,,

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen.
*** In some smaller packages, the VCCO bank number of a pin may trail
     the VREF bank number (VCCO,VREF).

